"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"HENRY TARONI MOTOR SPARES LIMITED","6653485","Active","Private limited company","","","","99999","7-20 William Henry Street Aston Birmingham B7 5ER","B7 5ER","99","2008","7","22","","","","52.49594377777778","-1.8789258888888891",
"STANLEY OVERSEAS HOLDINGS LIMITED","4144790","Active","Private limited company","","","","82990","Genting Club Star City Watson Road Birmingham B7 5SA","B7 5SA","82","2001","1","19","","","","52.505579","-1.85667",
"PASSIONFRUIT PROPERTIES LTD","12164908","Active","Private limited company","","","","41100 55209 55900 68100","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","41 55  68","2019","8","20","","","","52.49467","-1.879562",
"CASMAK LTD","12973336","Active","Private limited company","","","","16240","247 Great Lister Street Birmingham B7 4BS","B7 4BS","16","2020","10","26","","","","52.48998116666667","-1.8824950000000003",
"CHINA PALACE NG22 LTD","12925058","Active","Private limited company","","","","56103","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2020","10","3","","","","52.497507413793095","-1.8711112068965519",
"APOLLO BIRMINGHAM LTD","12197834","Active","Private limited company","","","","56301 56302","Phoenix Business Park Onyx House 12, Avenue Cl Birmingham B7 4NU","B7 4NU","56 ","2019","9","10","","","","52.49467","-1.879562",
"ASIAN WEDDING SERVICES UK LTD","12188147","Active","Private limited company","","","","96090","28 Cato Street North Birmingham B7 5AN","B7 5AN","96","2019","9","4","","","","52.49375549999999","-1.8689353749999997",
"EVERGREEN 18 LTD","12205015","Active","Private limited company","","","","56103","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2019","9","13","","","","52.497507413793095","-1.8711112068965519",
"SUKKHAIRA LIMITED","12207835","Active","Private limited company","","","","70229","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","70","2019","9","16","","","","52.49467","-1.879562",
"SHADEM LTD","12370574","Active","Private limited company","","","","82990","Unit 2 Rocky Lane Trading Estate William Henry Street Nechells B7 5ER","B7 5ER","82","2019","12","19","","","","52.4959636","-1.8789",
"JSC ESTATES MIDLANDS LTD","11632861","Active","Private limited company","","","","68100 68209 68320","257 Great Lister Street Birmingham B7 4DB","B7 4DB","68  ","2018","10","19","","","","52.489826750000006","-1.8838193500000002",
"WWYC LIMITED","11642208","Active","Private limited company","","","","64991 68209","375 Nechells Park Road Birmingham B7 5NT","B7 5NT","64 68","2018","10","25","","","","52.49643875000001","-1.8706878749999996",
"FULL HOUSE (OXON) LTD","11656808","Active","Private limited company","","","","56103","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2018","11","2","","","","52.497507413793095","-1.8711112068965519",
"MAJESTIC-12 WEB CRAWLERS LIMITED","9178406","Active","Private limited company","","","","63110","Birmingham Science Park Aston Faraday Wharf Holt Street Birmingham B7 4BB","B7 4BB","63","2014","8","15","","","","52.48882646666665","-1.8874950666666672",
"PETPS (BIRMINGHAM) CAPITAL LIMITED","10836221","Active","Private limited company","","","","65300","10 Woodcock Street Birmingham B7 4BL","B7 4BL","65","2017","6","26","","","","52.48709366666666","-1.886592",
"TUDOR SCHOOL LTD","13024500","Active","Private limited company","","","","85200 85310","Unit 1 Jennens Road Birmingham B7 4EJ","B7 4EJ","85 ","2020","11","16","","","","52.48643840000001","-1.8847197999999998",
"LOYNTON & CO SOLICITORS LTD","5967406","Active","Private limited company","","","","69102","Suite 13 Wing Yip Business Centre 278 Thimble Mill Lane Birmingham B7 5HD","B7 5HD","69","2006","10","16","","","","52.497507413793095","-1.8711112068965519",
"SOJO STAY GROUP LTD","11530800","Active","Private limited company","","","","68209 68320 79120","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","68  79","2018","8","22","","","","52.49467","-1.879562",
"REFLECTING NORTH LIMITED","13066959","Active","Private limited company","","","","71121 71122 71129 72190","27 Thornberry Walk Birmingham B7 5UA","B7 5UA","71   72","2020","12","7","","","","52.49790033333333","-1.8664399999999999",
